id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
,,21000,21000,21000, 36 months,12.99%,707.48,C,C2,Customer Service Manager,3 years,MORTGAGE,75000,Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,863xx,AZ,5.68,0,Apr-00,3,42,,8,0,57270,39.20%,28,f,0,0,25446.19343,25446.19,21000,4446.19,0,0,0,Jan-18,707.12,,Jan-21,0,42,1,Individual,,,,0,0,174363,,,,,,,,,,,,71400,,,,2,24909,12402,40.4,0,0,176,134,1,1,6,1,65,1,65,2,3,4,4,10,6,7,16,4,8,0,0,0,1,84,25,0,0,211400,57270,20800,0
,,26000,26000,26000, 36 months,12.99%,875.92,C,C2,Dir. of Community Standards,2 years,RENT,68000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,023xx,MA,27.29,0,Dec-01,0,49,,14,0,25030,93.70%,32,f,0,0,31504.87176,31504.87,26000,5504.87,0,0,0,Jan-18,875.81,,Apr-21,0,49,1,Individual,,,,0,0,97659,,,,,,,,,,,,26700,,,,3,7512,3489,84.2,0,0,156,131,7,7,0,9,49,9,49,0,3,5,5,6,16,8,15,5,14,0,0,0,2,96.8,60,0,0,106975,97659,22100,80275
,,6700,6700,6700, 36 months,14.31%,230.01,C,C4,Teacher,2 years,RENT,21000,Not Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,112xx,NY,19.94,0,Apr-06,0,,,5,0,10064,64.90%,6,f,0,0,7945.420001,7945.42,6700,1245.42,0,0,0,Sep-16,3583.22,,Feb-18,0,,1,Individual,,,,0,0,10064,,,,,,,,,,,,15500,,,,3,2013,5330,59,0,0,,104,20,20,0,20,,15,,0,4,5,4,5,0,5,6,5,5,0,0,0,0,100,75,0,0,15500,10064,13000,0
,,18000,18000,18000, 36 months,11.44%,593.06,B,B4,director,3 years,MORTGAGE,109000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,117xx,NY,22.07,1,Dec-84,0,1,,15,0,40579,59.90%,51,f,0,0,21332.76965,21332.77,18000,3332.77,0,0,0,Jan-18,592.83,,Oct-18,0,1,1,Individual,,,,1,0,456332,,,,,,,,,,,,67800,,,,5,32595,11682,66.5,1,0,140,360,8,8,6,8,43,8,1,4,4,9,5,19,5,12,40,9,15,1,0,1,1,92.2,40,0,0,515992,60608,34900,28192
,,21000,21000,21000, 60 months,16.49%,516.17,D,D3,manager,10+ years,MORTGAGE,140000,Verified,Dec-14,Fully Paid,n,,,credit_card,Debt consolidation,015xx,MA,29.47,0,Jul-90,0,,,17,0,54662,79.50%,32,f,0,0,30903.9452,30903.95,21000,9878.14,25.81000001,0,0,Nov-19,425.29,,Apr-21,0,,1,Individual,,,,0,0,503157,,,,,,,,,,,,68800,,,,7,29597,6672,80.8,0,0,125,293,6,6,3,6,,12,,0,5,9,5,11,9,12,20,9,17,0,0,0,4,100,40,0,0,597458,104289,34800,63758
,,19200,19200,19200, 60 months,20.99%,519.32,E,E4,buyer,6 years,MORTGAGE,55000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,356xx,AL,20.72,0,Sep-01,0,,,7,0,4722,49.70%,20,f,0,0,28544.03523,28544.04,19200,9344.04,0,0,0,Nov-17,11440.06,,Sep-21,0,,1,Individual,,,,0,0,168779,,,,,,,,,,,,9500,,,,4,24111,4437,1.4,0,0,159,116,38,7,1,38,,,,0,1,2,2,3,10,3,8,2,7,0,0,0,4,100,0,0,0,194439,34778,4500,34600
,,13000,13000,13000, 36 months,11.44%,428.32,B,B4,Mechanic,3 years,MORTGAGE,48000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,789xx,TX,23.58,0,May-04,0,31,,8,0,2864,44.10%,16,f,0,0,14325.48,14325.48,13000,1325.48,0,0,0,Jan-16,9577.96,,Feb-20,0,31,1,Individual,,,,0,0,89387,,,,,,,,,,,,6500,,,,6,11173,1373,51,0,0,127,117,8,7,2,24,,8,,1,2,4,3,4,8,5,6,4,8,0,0,0,2,93.7,33.3,0,0,99617,39203,2800,42141
,,4800,4800,4800, 36 months,13.66%,163.27,C,C3,Shop Manager ,2 years,MORTGAGE,52080,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,871xx,NM,7.47,0,Jun-09,1,24,,5,0,2900,58%,8,f,0,0,4967.97,4967.97,4800,167.97,0,0,0,Apr-15,4621.89,,Nov-20,0,,1,Individual,,,,0,0,166080,,,,,,,,,,,,5000,,,,3,33216,100,96.7,0,0,53,66,3,3,1,49,24,0,24,0,2,2,2,3,2,3,5,2,5,0,0,0,2,75,100,0,0,179740,8070,3000,15240
,,15000,15000,15000, 36 months,6.99%,463.09,A,A3,Associate,5 years,MORTGAGE,108150,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,064xx,CT,25.61,0,Apr-94,0,,,13,0,70293,75%,23,w,0,0,16684.50894,16684.51,15000,1684.51,0,0,0,Jan-18,463.01,,Nov-21,0,,1,Individual,,,,0,0,341907,,,,,,,,,,,,93700,,,,2,26301,21286,76.7,0,0,127,248,17,17,2,61,,9,,0,6,7,7,12,5,8,15,7,13,0,0,0,0,100,57.1,0,0,444000,97323,91400,70035
,,3000,3000,3000, 36 months,14.31%,102.99,C,C4,,n/a,MORTGAGE,133000,Verified,Dec-14,Fully Paid,n,,,other,Other,922xx,CA,14.13,0,Sep-85,3,26,,10,0,25133,81.30%,32,f,0,0,3677.384701,3677.38,3000,677.38,0,0,0,Jul-17,604.01,,Mar-21,0,26,1,Individual,,,,0,0,443857,,,,,,,,,,,,30900,,,,5,44386,2737,89.4,0,0,141,351,4,4,3,5,,4,27,0,3,5,4,8,6,6,23,5,10,0,0,0,4,81.2,50,0,0,514261,41186,25700,31361
,,28000,28000,28000, 36 months,17.86%,1010.31,D,D5,occupational therapist,5 years,RENT,99789,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,907xx,CA,19.69,1,Jul-07,2,6,,14,0,3011,8.70%,20,f,0,0,36329.0983,36329.1,28000,8329.1,0,0,0,Jan-18,1009.92,,Sep-21,0,,1,Individual,,,,0,0,22027,,,,,,,,,,,,34800,,,,6,1694,28189,9.7,0,0,27,89,1,1,0,1,,1,6,0,2,2,7,7,6,11,14,2,14,0,0,0,3,95,0,0,0,81527,22027,31200,46727
